,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,POS,VARIACION,,JUGADOR,PUNTOS,HCP,TORNEOS,PROCEDENCIA,TARJETA 15,PUNTOS QUE PIERDE,TARJETA 16,,,,,,,,,,,,,,,,,,,,,CAMBIOS
PIRCHIO BRUNO,44,?,0,COLOMBO DAMIAN (37),1182.46,1,15,MARIA JUANA (SF),38.49,0.00,27.57,45,,,,,,,,,,,,,,,,,,,,0
DIZEO LEANDRO,45,?,0,PONTINI JUAN (45),1178.13,3,14,LAS ROSAS (SF),0.00,0.00,0.00,28,,,,,,,,,,,,,,,,,,,,0
STRACQUALURSI DENIS,46,?,0,ZELAYA LEONARDO (48),1157.83,5,15,ROSARIO (SF),49.43,0.00,45.48,56,,,,,,,,,,,,,,,,,,,,0
SOTELO ARIEL,47,?,0,GOMEZ EDGARDO FABIAN (51),1145.29,5,15,BAHIA BLANCA (BA),27.57,29.97,24.23,41,,,,,,,,,,,,,,,,,,,,0
GAUDENZI CARLOS,48,?,0,RUIZ BRAIAN (36),1144.58,5,15,BAHÑA BLANCA (BA),38.49,0.00,32.58,39,,,,,,,,,,,,,,,,,,,,0
CLEMENZ CRISTIAN EZEQUIEL,49,?,0,PALACIOS RAMIRO (47),1144.53,6,15,OLAVARRIA (BA),41.84,0.00,38.49,33,,,,,,,,,,,,,,,,,,,,0
FORNILLO MAURICIO,50,?,0,MONTORO AGUSTIN (29),1136.36,5,15,ROSARIO (SF),38.49,0.00,35.41,39,,,,,,,,,,,,,,,,,,,,0
ALVAREZ FACUNDO MARTIN,51,?,0,BRUTTI ADRIAN (38),1125.56,3,10,TANDIL (BA),0.00,0.00,0.00,35,,,,,,,,,,,,,,,,,,,,0
CASTRO LUCAS DAMIAN,52,?,0,CASTELLANO PABLO (42),1106.52,4,15,SAN JORGE (SF),29.97,0.00,23.34,30,,,,,,,,,,,,,,,,,,,,0
LUDUEÑA DANIEL,53,?,0,AGUIRREZABALA ALBERTO (38),1085.36,6,15,CORONEL PRINGLES (BA),35.41,0.00,29.97,42,,,,,,,,,,,,,,,,,,,,0
BRANDAN FAUSTINO,54,?,0,ALMADA CLAUDIO (55),1085.27,2,14,CABA (BA),0.00,0.00,0.00,54,,,,,,,,,,,,,,,,,,,,0
CICOPIEDI HORACIO,55,?,0,PETUNCHI WALTER (51),1067.83,5,12,RAMALLO (BA),0.00,0.00,0.00,38,,,,,,,,,,,,,,,,,,,,0
MONTORO AGUSTIN,56,?,0,LOPEZ IRIART CRISTIAN (40),1063.66,5,15,TANDIL (BA),30.14,0.00,28.60,36,,,,,,,,,,,,,,,,,,,,0
LOPEZ IRIART CRISTIAN,57,?,0,CICOPIEDI HORACIO (47),1047.76,4,15,TANDIL (BA),36.77,0.00,6.93,43,,,,,,,,,,,,,,,,,,,,0
OLIVERO DARIO,58,?,0,PETTI VIERA SEBASTIAN (43),1034.15,6,15,BERISSO (ba),43.40,0.00,18.27,53,,,,,,,,,,,,,,,,,,,,0
CORRADO JORGE,59,?,0,ELSENER ALBERTO (42),1018.48,3,14,SUNCHALES (SF),0.00,0.00,0.00,42,,,,,,,,,,,,,,,,,,,,0
CONQUEIRO FELIX,60,?,0,NOGUERA NAHUEL JORGE (44),1004.89,5,15,VILL BOSCH (BA),20.51,0.00,0.00,37,,,,,,,,,,,,,,,,,,,,0
GIMENEZ MAXIMILIANO,61,?,0,ALES MATIAS (41),998.35,5,15,BUENOS AIRES (BA),26.34,0.00,19.75,48,,,,,,,,,,,,,,,,,,,,0
JORGE NAHUEL GONZALO,62,?,0,ROLON JUAN MANUEL (34),986.87,7,15,GONZALEZ CHAVEZ (BA),39.96,0.00,39.96,39,,,,,,,,,,,,,,,,,,,,0
PEREZ DIEGO OMAR,63,?,0,LOPEZ JUAN MANUEL (32),961.07,3,6,VILLA GESELL (BA),0.00,0.00,0.00,50,,,,,,,,,,,,,,,,,,,,0
JORGE MAURO,64,?,0,SIMILI LEANDRO (51),953.77,7,15,ROSARIO (SF),32.58,0.00,29.97,38,,,,,,,,,,,,,,,,,,,,0
